,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type
140,ETid-1828,ITALY,2023-03-23,"30,000",Bolzano municipality,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security
141,ETid-1827,SPAIN,2023-05-09,"5,000","ESTUDIO INMOBILIARIO SAN ISIDRO, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
142,ETid-1826,SPAIN,2023-05-09,180,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
143,ETid-1825,HUNGARY,2022,"2,700",Credit institution,"Art. 6 (1) GDPR, Art. 5 (2) GDPR",Insufficient legal basis for data processing
144,ETid-1824,HUNGARY,2023-02-06,"80,500",I&S Limited Kft,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR, Art. 13 (1), (2) GDPR, Art. 24 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles
145,ETid-1823,HUNGARY,2022,"1,400",Dentist,Unknown,Non-compliance with general data processing principles
146,ETid-1822,HUNGARY,2022-04-22,"8,000",Political party,"Art. 5 (2) GDPR, Art. 32 (1) a), b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
147,ETid-1821,ITALY,2023-03-2023,"2,000",Consorzio Concessioni Reti Gas S.c.a.r.l.,"Art. 5 (1) a),c) GDPR, Art. 12 GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
148,ETid-1820,SPAIN,2023-04-28,"2,000",ASSOCIACIO DE CAÇADORS D'ALZIRA,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles
149,ETid-1819,CYPRUS,2023-05-02,"9,000",NAGA Markets Europe Ltd,"Art. 5 (1) f) GDPR, Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security
150,ETid-1818,CYPRUS,2023-02-03,"3,250",Epic Ltd.,"Art. 6 (1) GDPR, Art. 24 (1), (2) GDPR, Art. 32 (1) GDPR",Insufficient legal basis for data processing
151,ETid-1817,CYPRUS,2023-01-16,"7,000",Πολίτης newspaper,"Art. 5 (1) c) GDPR, Art. 6 (1) f) GDPR",Non-compliance with general data processing principles
152,ETid-1816,CROATIA,2023-05-04,"2,265,000",Debt collection agency,"Art. 6 (1) GDPR, Art. 13 (1) GDPR, Art. 28 (3) GDPR, Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
153,ETid-1815,HUNGARY,2022-09-12,"80,700",Coin dealer,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 7 (2) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
154,ETid-1814,HUNGARY,2022,"1,300",Website operator,"Art. 5 (1) a) GDPR, Art. 12 (2), (3) GDPR, Art. 31 GDPR",Insufficient fulfilment of data subjects rights
155,ETid-1813,HUNGARY,2022,"1,600",Physician,"Art. 5 (1) a) GDPR, Art. 12 (2) GDPR, Art. 13 (1) GDPR",Insufficient fulfilment of data subjects rights
156,ETid-1812,HUNGARY,2022,"80,700",Beauty salon,Unknown,Insufficient legal basis for data processing
157,ETid-1811,HUNGARY,2022-12-21,"8,000",Hotel,"Art. 5 (1) e) GDPR, Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 31 GDPR",Insufficient legal basis for data processing
158,ETid-1810,SPAIN,2023-05-05,"2,000",Homeowners' association,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles
159,ETid-1809,SPAIN,2023-05-05,"1,200",FUNDACIÓ PRIVADA UNIVERSITARIA EADA,Art. 6 (1) GDPR,Insufficient legal basis for data processing
160,ETid-1808,POLAND,2023-02-08,"7,200",Company,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1), (2) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security
161,ETid-1807,ITALY,2023-03-02,"5,000",Private individual,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 130 Codice della privacy",Insufficient legal basis for data processing
