,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type,Source
25,ETid-962,SPAIN,2021-12-21,"2,000",FUNDACION ESPANOLA DE MEDICINA ESTETICA Y LONGEVIDAD,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link
26,ETid-961,AUSTRIA,2021-08-05,600,Private individual,Art. 9 GDPR,Insufficient legal basis for data processing,link
27,ETid-960,NORWAY,2021-12-17,"3,900",T. Stene Transport AS,Unknown,Unknown,link
28,ETid-959,SPAIN,2021-12-17,"2,000",Online retailer,Art. 6 GDPR,Insufficient legal basis for data processing,link
29,ETid-958,SPAIN,2021-12-17,"2,000",Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
30,ETid-957,GREECE,2021-12-08,"30,000",One Way Private Company,"Art. 28 (3) c) GDPR, Art. 32 (2), (4) GDPR, Art. 11 (1) Νόμος 3471/2006",Insufficient technical and organisational measures to ensure information security,link
31,ETid-956,SPAIN,2021-12-14,"50,000","IZA OBRAS Y PROMOCIONES, S.A.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
32,ETid-955,HUNGARY,2021-10-27,"13,500",Car importer,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
33,ETid-954,DENMARK,2021-12-16,"13,450",Municipality of Frederiksberg,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
34,ETid-953,SPAIN,2021-12-16,"1,200",Private individual,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
35,ETid-952,FINLAND,2021-12-07,"608,000",Psykoterapiakeskus Vastaamo,"Art. 5 (1) f) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Non-compliance with general data processing principles,link
36,ETid-951,AUSTRIA,2021-02-12,"3,000",Unknown,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link
37,ETid-950,NORWAY,2021-12-13,"6,300,000",Grindr LLC,"Art. 6 (1) GDPR, Art. 9 (1) GDPR",Insufficient legal basis for data processing,link
38,ETid-949,ROMANIA,2021-12-13,"2,000",SC Nobiotic Pharma SRL,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link
39,ETid-948,NORWAY,2021-11-24,"98,000",Norwegian State Pension Fund (SPK),"Art. 5 (1) c), e) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR",Insufficient legal basis for data processing,link
40,ETid-947,BELGIUM,2021-12-08,"10,000",Unknown,"Art. 12 (3) GDPR, Art. 14 (1), (2), (3) GDPR, Art. 15 GDPR, Art. 17 (1) c) GDPR, Art. 21 (2) GDPR",Insufficient fulfilment of data subjects rights,link
41,ETid-946,THE NETHERLANDS,2021-11-25,"2,750,000",Dutch Minister of Finance,"Art. 5 (1) a) GDPR, Art. 6 (1) e) GDPR, Art. 8 Wbp",Insufficient legal basis for data processing,link link
42,ETid-945,SPAIN,2021-12-07,"24,000","NBQ Technology, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
43,ETid-944,SPAIN,2021-12-03,"1,000",Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
44,ETid-943,GERMANY,2019,"Fine amount between EUR 350 and EUR 1,000",Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
45,ETid-942,GERMANY,2019,Fine amount between EUR 50 and EUR 800,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
46,ETid-941,GERMANY,2019,500,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
47,ETid-940,GERMANY,Unknown,600,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
48,ETid-939,GERMANY,Unknown,300,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
49,ETid-938,GERMANY,Unknown,50,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
50,ETid-937,SPAIN,2021-11-02,"2,000","COOPERA RC SERVICES, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
51,ETid-936,SPAIN,2021-11-23,"40,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
52,ETid-935,SPAIN,2021-11-23,"40,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
53,ETid-934,SPAIN,2021-12-02,"2,000","IMAGINA FRAN SPORT, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
54,ETid-933,SPAIN,2021-12-01,"5,000","INTRODUCTION BUSINESS CAPITAL MEDIA, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD",Insufficient fulfilment of data subjects rights,link
55,ETid-932,ITALY,2021-10-14,"8,000",Health Protection Agency of Sardinia (ATS),"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link
56,ETid-931,ITALY,2021-09-29,"2,000",Physician,"Art. 5 (1) a) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link
57,ETid-930,UNITED KINGDOM,2021-11-25,"585,000",Cabinet Office,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link link
58,ETid-929,ITALY,2021-10-28,"2,000",Anfiteatro Flavio s.r.l.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
59,ETid-928,ITALY,2021-10-28,"2,000",OTTO s.r.l.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
60,ETid-927,LITHUANIA,2021-11-29,"110,000",UAB Prime Leasing,"Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,link
61,ETid-926,SPAIN,2021-11-30,"5,000",ASOCIACIÓN ESPAÑOLA PARA LA ENSEÑANZA ONLINE,"Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link
62,ETid-925,SPAIN,2021-11-30,"20,000","DAVISER SERVICIOS, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
63,ETid-924,SPAIN,2021-11-30,"5,000",ASOCIACIÓN ESPAÑOLA PARA LA ENSEÑANZA ONLINE,"Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link
64,ETid-923,SPAIN,2021-11-30,"1,500",Neighborhood community,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
65,ETid-922,SPAIN,2021-11-29,"1,000",Restaurant owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
66,ETid-921,SPAIN,2021-11-29,"4,000","TIGERS MARKET, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD",Insufficient fulfilment of data subjects rights,link
67,ETid-920,LUXEMBOURG,2021-10-27,"15,400",Unknown,"Art. 38 (1), (3) GDPR, Art. 39 (1) a), b) GDPR",Insufficient involvement of data protection officer,link
68,ETid-919,GREECE,2021-10-14,"20,000",ΚΑΠΑ ΛΑΜΔΑ ΩΜΕΓΑ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΜΠΟΡΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,"Art. 6 GDPR, Art. 12 (2) GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link
69,ETid-918,SPAIN,2021-11-24,"9,000",UNIÓN FINANCIERA ASTURIANA S.A. E.F.C.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
70,ETid-917,ICELAND,2021-11-23,"27,200",YAY ehf.,"Art. 5 GDPR, Art. 6 GDPR, Art. 28 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link
71,ETid-916,ICELAND,2021-11-23,"51,000",Icelandic Ministry of Industry and Innovation,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link
72,ETid-915,ROMANIA,2021-11-26,"2,000",Valoris Center S.R.L.,"Art. 29 GDPR, Art. 32 (1) b) GDPR, Art. 32 (4) GDPR",Insufficient technical and organisational measures to ensure information security,link
73,ETid-914,SPAIN,2021-11-23,"40,000","Vodafone España, SAU",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
74,ETid-913,SPAIN,2021-11-23,"3,000",FUENSANTA S.L.,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link
75,ETid-912,SPAIN,2021-11-22,"2,000","ANIVERSALIA NETWORKS, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
76,ETid-911,SPAIN,2021-11-22,"3,000",Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
77,ETid-910,FRANCE,2021-11-04,"400,000",Régie autonome des transports parisiens,"Art. 5 (1) c) GDPR, Art. 5 (1) e) GDPR, Art. 5 (2) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link link
78,ETid-909,CYPRUS,2021-11-12,"925,000",WS WiSpear Systems Ltd,Art. 5 (1) a) GDPR,Non-compliance with general data processing principles,link
79,ETid-908,SPAIN,2021-11-15,"40,000","Vodafone España, SAU",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
80,ETid-907,SPAIN,2021-11-22,"1,000",Neighborhood community,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
81,ETid-906,BULGARIA,2021-10-26,380,Bank,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link
82,ETid-905,SPAIN,2021-11-15,"30,000","Vodafone España, SAU",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
83,ETid-904,SPAIN,2021-11-15,"1,000",Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
84,ETid-903,SPAIN,2021-11-15,"1,000",Supermarket,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
85,ETid-902,THE NETHERLANDS,2021-11-12,"400,000",Transavia,"Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link link
86,ETid-901,POLAND,2021-10-14,"78,000",Bank Millennium S.A,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link
87,ETid-900,SPAIN,2021-11-12,"3,000",AD735 DATA MEDIA ADVERTISING S.L.,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link
88,ETid-899,SPAIN,2021-11-12,"1,500",Company,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
89,ETid-898,ROMANIA,2021-11-14,"2,900",Vodafone România SA,"Art. 32 (1) b) GDPR, Art. 32 (2) GDPR, Art. 3 (1) Law No. 506/2004, Art. 3 (3) a), b) Law No. 506/2004",Insufficient technical and organisational measures to ensure information security,link
90,ETid-897,GREECE,2021-10-04,"5,000",PREMIUMMEDIA ΠΑΡΑΓΩΓΗ ΟΠΤΙΚΟ-ΑΚΟΥΣΤΙΚΩΝ ΕΡΓΩΝ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ,"Art. 21 (3) GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link
91,ETid-896,LUXEMBOURG,2021-10-13,"18,000",Unknown,"Art. 37 (7) GDPR, Art. 38 (1), (2) GDPR, Art. 39 (1) b) GDPR",Insufficient involvement of data protection officer,link
92,ETid-895,LUXEMBOURG,2021-10-13,"13,200",Unknown,"Art. 38 (1) GDPR, Art. 39 (1) b) GDPR",Insufficient involvement of data protection officer,link
93,ETid-894,LUXEMBOURG,2021-10-06,"5,300",Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
94,ETid-893,IRELAND,2021-08-20,"1,500",MOVE Ireland,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link link
95,ETid-892,ITALY,2021-09-16,"5,000",Comune di Montalbano Jonico,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR, Art. 9 (1), (2), (4) GDPR, Art. 2-ter (1), (3) Codice della privacy, Art. 2-septies (8) Codice della privacy",Non-compliance with general data processing principles,link
96,ETid-891,ROMANIA,2021-11-1,"5,000",S.P.E.E.H. Hidroelectrica S.A.,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
97,ETid-890,ROMANIA,2021-11-1,"1,000",IKEA ROMÂNIA SA,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
98,ETid-889,SPAIN,2021-10-26,"40,000","VODAFONE SERVICIOS, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
99,ETid-888,SPAIN,2021-10-26,"40,000","VODAFONE SERVICIOS, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
100,ETid-887,SPAIN,2021-10-26,"16,000","SERVICIOS LOGÍSTICOS MARTORELL SIGLO XXI, S.L.",Art. 35 GDPR,Non-compliance with general data processing principles,link
101,ETid-886,SPAIN,2021-10-26,"64,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
102,ETid-885,SPAIN,2021-10-25,"3,000","MERCEDES GERENCIA, S.L.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,link
103,ETid-884,SPAIN,2021-10-21,"3,000,000","CAIXABANK PAYMENTS & CONSUMER EFC, EP, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
104,ETid-883,UNITED KINGDOM,2021-10-18,"11,800",HIV Scotland,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link link
105,ETid-882,SPAIN,2021-10-19,"2,000",BEEPING FULFILMENT S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
106,ETid-881,SPAIN,2021-10-19,"40,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
107,ETid-880,ROMANIA,2021-10-21,"5,000",Glove Technology SRL,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link
108,ETid-879,SPAIN,2021-10-19,"70,000","Vodafone España, S.A.U.","Art. 21 GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link
109,ETid-878,NORWAY,2021-10-18,"412,000",Østre Toten municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
110,ETid-877,ITALY,2021-09-16,"3,296,326",Sky Italia S.r.l.,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 7 GDPR, Art. 12 (2) GDPR, Art. 14 GDPR, Art. 21 GDPR, Art. 28 GDPR, Art. 29 GDPR",Insufficient legal basis for data processing,link link
111,ETid-876,ITALY,2021-09-16,"200,000",Bocconi University,"Art. 5 (1) a), c), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 35 GDPR, Art. 44 GDPR, Art. 46 GDPR, Art. Art. 2-sexies Codice della Privacy",Non-compliance with general data processing principles,link
112,ETid-875,IRELAND,2021-10-06,Only intention to issue fine,Facebook Ireland Limited,"Art. 5 (1) a) GDPR, Art. 12 (1) GDPR, Art. 13 (1) c) GDPR",Insufficient fulfilment of information obligations,link
113,ETid-874,ITALY,2021-09-16,"5,000",Ciechi Ardizzone Gioeni di Catania,"Art. 5 (1) a), c) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link
114,ETid-873,AUSTRIA,2021,"1,200,000",Customer loyalty program,Unknown,Unknown,link
115,ETid-872,AUSTRIA,2021,"4,000,000",Bank,Unknown,Unknown,link
116,ETid-871,AUSTRIA,2021-09-28,"9,500,000",Austrian Post,Unknown,Unknown,link link
117,ETid-870,SPAIN,2021-10-13,"40,000","Vodafone España, S.A.U.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link
118,ETid-869,ITALY,2021-09-16,"5,000",La Prima S.r.l.,"Art. 5 GDPR, Art. 6 GDPR, Art. 24 GDPR, Art. 25 GDPR",Insufficient legal basis for data processing,link
119,ETid-868,SPAIN,2021-10-11,"10,000",MAF.COM ESQUI CLUB,Art. 7 GDPR,Insufficient legal basis for data processing,link
120,ETid-867,SPAIN,2021-10-08,"30,000","ORANGE ESPAGNE, S.A.U.",Art. 6 (1) a) GDPR,Insufficient legal basis for data processing,link
121,ETid-866,LUXEMBOURG,2021-08-05,"135,000",Insurance company,"Art. 5 (1) f) GDPR, Art. 32 (1) a), b) GDPR, Art. 33 (1), (5) GDPR",Insufficient technical and organisational measures to ensure information security,link
122,ETid-865,SPAIN,2021-10-05,"4,000","CLUB DEPORTIVO SANSUEÑA, S.L.","Art. 5 (1) e) GDPR, Art. 6 GDPR, Art. 32 (1) b), d) GDPR",Insufficient legal basis for data processing,link
123,ETid-864,SPAIN,2021-10-04,"5,000","CALDERERIA Y SOLDADURA DE ESTRUCTURAS METALICAS, S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link
124,ETid-863,NORWAY,2021-09-21,"12,500",Ultra-Technology AS,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
125,ETid-862,SPAIN,2021-10-04,"1,000",Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
126,ETid-861,SPAIN,2021-10-04,"2,000",Store owner,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
127,ETid-860,SPAIN,2021-09-04,"1,500","AMPUDIA DIAZ, S.L.","Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link
128,ETid-859,NORWAY,2021-09-20,"75,600",ST. OLAVS HOSPITAL HF,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
129,ETid-858,NORWAY,2021-09-20,"40,200",Høylandet Municipality,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link
130,ETid-857,DENMARK,2021-09-29,"107,000",Danish Cancer Society,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
131,ETid-856,SPAIN,2021-09-29,"10,000",ACONCAGUA JUEGOS S.A.,Art. 37 GDPR,Insufficient involvement of data protection officer,link
132,ETid-855,SPAIN,2021-09-29,"5,000","CYNGASA, S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link
133,ETid-854,SPAIN,2021-09-28,"3,000",Bar owner,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link
134,ETid-853,SPAIN,2021-09-14,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
135,ETid-852,SPAIN,2021-09-14,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
136,ETid-851,NORWAY,2021-09-27,"496,000",Ferde AS,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 28 (3) GDPR, Art. 32 (2) GDPR, Art. 44 GDPR",Non-compliance with general data processing principles,link
137,ETid-850,SPAIN,2021-09-14,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
138,ETid-849,SPAIN,2021-09-14,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
139,ETid-848,SPAIN,2021-09-24,"3,000",Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
140,ETid-847,ISLE OF MAN,2020-12-11,"3,250",Cosmetic Medical Limited,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link
141,ETid-846,GERMANY,2021-09-24,"900,000",Vattenfall Europe Sales GmbH,"Art. 12 GDPR, Art. 13 GDPR",Insufficient data processing agreement,link
142,ETid-845,SPAIN,2021-09-14,"40,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
143,ETid-844,SPAIN,2021-09-20,"18,000","CEDICO, CENTRO DE DIAGNÓSTICO POR LA IMÁGEN, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link
144,ETid-843,GREECE,2021-08-26,"5,000",NOW DOCTOR – Εταιρία Παροχής Ηλεκτρονικών Υπηρεσιών Αναζήτησης και Προβολής Ιατρών Ε.Π.Ε.,"Art. 5 (1) a), e) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3) GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,link
145,ETid-842,GREECE,2021-09-03,"8,000",Rhodes Municipal Transport Company,"Art. 5 (1) c) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link
146,ETid-841,GREECE,2021-08-26,"20,000",National Bank of Greece,"Art. 12 (1), (2), (3) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,link
147,ETid-840,GREECE,2021-08-26,"20,000",Dixons South East Europe ΑΕΒΕ-ΚΩΤΣΟΒΟΛΟΣ,"Art. 12 (1), (2), (3) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,link
148,ETid-839,DENMARK,2021-09-17,"67,200",Syddanmark Region,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
149,ETid-838,SPAIN,2021-09-16,"4,000",Frigorifica Botana S.L.,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
150,ETid-837,FRANCE,2021-09-15,"3,000",Société nouvelle de l’annuaire français,"Art. 16 GDPR, Art. 17 GDPR, Art. 30 GDPR, Art. 31 GDPR",Insufficient fulfilment of data subjects rights,link link
151,ETid-836,DENMARK,2021-09-16,"10,000",Favrskov municipality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
152,ETid-835,SPAIN,2021-09-13,"9,000",Website operator,"Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link
153,ETid-834,SPAIN,2021-09-13,"1,000",Hairdressing salon,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
154,ETid-833,SPAIN,2021-09-13,"1,000",GESTIONES AUTO LOW COST S. L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
155,ETid-832,CYPRUS,2021-09-06,"25,000",Hellenic Technical Enterprises Ltd.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link link
156,ETid-831,CYPRUS,2021-09-06,"40,000",AC Omonia,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link link
157,ETid-830,CYPRUS,2021-09-06,"40,000",APOEL FC,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link link
158,ETid-829,ITALY,2021-07-22,"400,000",Atac s.p.a.,"Art. 5 GDPR, Art. 6 GDPR, Art. 30 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link link
159,ETid-828,ITALY,2021-07-22,"30,000",Flowbird Italia s.r.l.,"Art. 5 GDPR, Art. 6 GDPR, Art. 30 GDPR",Non-compliance with general data processing principles,link link
160,ETid-827,ITALY,2021-07-22,"800,000",Roma Capitale,"Art. 5 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link link
161,ETid-826,ITALY,2021-07-22,"200,000",Regione Lombardia,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR",Non-compliance with general data processing principles,link link
162,ETid-825,IRELAND,2021-09-07,"1,400",Vodafone Ireland Limited,Art. 21 GDPR,Insufficient fulfilment of data subjects rights,link
