,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type
44,ETid-1296,ITALY,2022-05-12,"2,000",Singh Market,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations
45,ETid-1295,ITALY,2022-05-26,"4,000",Università Agraria di Nettuno,"Art. 5 GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing
46,ETid-1294,ITALY,2022-05-26,"16,000",Region of Tuscany,"Art. 5 (1) c) GDPR, Art. 6 (1) c) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR, Art. 2-ter (1), (3) Codice della privacy",Insufficient legal basis for data processing
47,ETid-1293,CROATIA,2022-07-21,"285,000",Telecommunications company,"Art. 25 (1) GDPR, Art. 32 (1) b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
48,ETid-1292,CROATIA,2022-07-21,"4,000",Car dealership,Art. 27 (1) Zakona o provedbi Opće uredbe o zaštiti podataka,Insufficient fulfilment of information obligations
49,ETid-1291,ITALY,2021-03-25,"6,000",Convitto Nazionale Statale 'Giordano Bruno' di Maddaloni (boarding school),"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 2-ter (1), (3) Codice della privacy",Insufficient legal basis for data processing
50,ETid-1290,ITALY,2022-05-12,"6,000",Villabate municipality,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 37 (1) a) GDPR, Art. 37 (7) GDPR, Art. 38 (6) GDPR",Non-compliance with general data processing principles
51,ETid-1289,ITALY,2022-05-26,"10,000",Afragola municipality,"Art. 5 (1) a), c) GDPR, Art. 12 (3), (4) GDPR, Art. 2-ter Codice della privacy",Non-compliance with general data processing principles
52,ETid-1288,SPAIN,2022-07-18,"56,000","BANKINTER, S.A.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles
53,ETid-1287,SPAIN,2022-07-19,"4,000",Bookstore employee,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
54,ETid-1286,SPAIN,2022-07-19,"2,000",Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
55,ETid-1285,SPAIN,2022-07-19,"5,000",Bar owner,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles
56,ETid-1284,SPAIN,2022-07-19,600,Private individual,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
57,ETid-1283,SPAIN,2022-07-13,"132,000","DKV Seguros y Reaseguros, S.A.E.","Art. 5 (1) f) GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security
58,ETid-1282,GERMANY,2021,Fine in six-digit amount,Company,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security
59,ETid-1281,GERMANY,2021,Unknown,Police department,§ 32 Absatz 1 BbgDSG,Insufficient legal basis for data processing
60,ETid-1280,GERMANY,2021,Unknown,Police department,§ 32 Absatz 1 BbgDSG,Insufficient legal basis for data processing
61,ETid-1279,GERMANY,2021,Unknown,Police department,§ 32 Absatz 1 BbgDSG,Insufficient legal basis for data processing
62,ETid-1278,ITALY,2021-01-27,"10,000",City of Rome (Roma capitale),"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) Art. 6 (2) GDPR, Art. 6 (3) b) GDPR GDPR, Art. 2-ter (1), (3) Codice della privacy",Insufficient legal basis for data processing
63,ETid-1277,GERMANY,2021,Fine in four-digit amount,Physician,Art. 6 GDPR,Insufficient legal basis for data processing
64,ETid-1276,GERMANY,2021,Fine in three-digit amount,Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
65,ETid-1275,GERMANY,2021,Fine in three-digit amount,Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
66,ETid-1274,ITALY,2022-05-22,"7,000",Azienda Socio Sanitaria Territoriale Dei Sette Laghi,"Art. 5 (1) f) GDPR, Art. 9 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
67,ETid-1273,CYPRUS,2022,"5,000",Cyprus Judo Federation,Art. 31 GDPR,Insufficient cooperation with supervisory authority
68,ETid-1272,SPAIN,2022-07-01,300,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
69,ETid-1271,ITALY,2022-05-26,"2,000",Turkish City,Art. 13 GDPR,Insufficient fulfilment of information obligations
70,ETid-1270,DENMARK,2022-07-14,"67,200",SIRIUS (law firm),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security
71,ETid-1269,POLAND,2022-07-06,"12,450",Głównego Geodetę Kraju,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations
72,ETid-1268,GREECE,2022-07-13,"20,000,000",Clearview Al Inc.,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 15 GDPR, Art. 27 GDPR",Non-compliance with general data processing principles
73,ETid-1267,CYPRUS,2022,"1,500",Physician,Art. 31 GDPR,Insufficient cooperation with supervisory authority
74,ETid-1266,CYPRUS,04-02-22,"10,000",Εκδοτικού Οίκου Δίας,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
75,ETid-1265,CYPRUS,2022,"2,000",Oroklini Municipal Council,Art. 31 GDPR,Insufficient cooperation with supervisory authority
76,ETid-1264,ITALY,2022-05-12,"20,000",Bazar di Hu Xiaoyan,"Art. 5 GDPR, Art. 13 GDPR, Art. 114 Codice della privacy",Insufficient fulfilment of information obligations
77,ETid-1263,FRANCE,2022-06-23,"1,000,000",TotalEnergies Electricité et Gaz France,"Art. 14 GDPR, Art. 15 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights
78,ETid-1262,SPAIN,2022-07-06,"3,000",ASOCIACIÓN DE AFICIONADOS Y PEQUEÑOS ACCIONISTAS UNIDAD HERCULANA,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
79,ETid-1261,SPAIN,2022-07-05,600,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
80,ETid-1260,SPAIN,2022-07-06,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
81,ETid-1259,NORWAY,2022-03-04,"195,000",Norwegian Parliament,"Art. 5 (1) f) GDPR, Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security
82,ETid-1258,ITALY,2022-05-26,"100,000",Intesa Sanpaolo S.p.A,"Art. 5 (1) a), f) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
83,ETid-1257,ITALY,2022-05-26,"46,000",Azienda Sanitaria Locale Roma,"Art. 5 (1) c) GDPR, Art. 6 (1) c), d) GDPR, Art. 6 (2), (3) GDPR, Art. 9 (1), (2), (4) GDPR, Art. 2-ter (1), (2) Codice della privacy, Art. 2-septies (8) Codice della privacy",Insufficient legal basis for data processing
84,ETid-1256,GREECE,2022-06-20,"2,000",WIND Ελλάς Τηλεπικοινωνίες ΑΕΒΕ,Art. 15 GDPR,Insuffcient fulfilment of data subject rights
85,ETid-1255,GREECE,2022-06-24,"2,000",Parliamentary election candidate,"Art. 12 GDPR, Art. 11 Law 3471/2006",Insuffcient fulfilment of data subject rights
86,ETid-1254,FINLAND,2022-05-09,"85,000",Otavamedia Oy,"Art. 5 (1) c) GDPR, Art. 12 (1), (2), (3), (4), (6) GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 25 GDPR",Insuffcient fulfilment of data subject rights
87,ETid-1253,SPAIN,2022-05-24,"42,000",Alquiler Seguro SA,Art. 6 (1) GDPR,Insufficient legal basis for data processing
88,ETid-1252,SPAIN,2022-07-01,500,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
89,ETid-1251,GREECE,2022-06-29,"3,000",Pediatric psychologist,Art. 31 GDPR,Insufficient cooperation with supervisory authority
90,ETid-1250,UNITED KINGDOM,2022-06-09,"91,000",Tavistock & Portman NHS Foundation Trust,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
91,ETid-1249,SPAIN,2022-06-28,"3,000","FLY FUT, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
92,ETid-1248,ROMANIA,2022-06-30,"2,000",Continental Automotive Romania SRL,"Art. 24 GDPR, Art. 32 (1) d) GDPR",Insufficient technical and organisational measures to ensure information security
93,ETid-1247,SPAIN,2022-06-23,"30,000","RADIO TELEVISION MADRID, S.A.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
94,ETid-1246,SPAIN,2022-06-23,"30,000",CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA S.A.,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
95,ETid-1245,SPAIN,2022-06-28,"1,000",Company,Art. 13 GDPR,Insufficient fulfilment of information obligations
96,ETid-1244,HUNGARY,2022-02-08,"634,000",Budapest Bank Zrt.,"Art. 5 (1) a), b) GDPR, Art. 6 (1), (4) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 (1), (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1), (2) GDPR",Insufficient legal basis for data processing
97,ETid-1243,POLAND,2022-05-31,"2,100",Stołeczny Ośrodek dla Osób Nietrzeźwych,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
98,ETid-1242,ITALY,2022-05-22,"3,000",Zito Auto di Gianfranco Zito,"Art. 5 (1) a), c) GDPR, Art. 114 Codice della privacy",Non-compliance with general data processing principles
99,ETid-1241,DENMARK,2022-06-22,"134,000",Gyldendal A/S,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles
100,ETid-1240,SPAIN,2022-06-24,180,Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations
101,ETid-1239,ROMANIA,2022-06-20,"7,000",Asociația de Proprietari Aviației Park,"Art. 5 (1) a), c), e) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
102,ETid-1238,ROMANIA,2022-06-20,"1,000",SC Interactions Marketing SRL,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security
103,ETid-1237,SPAIN,2022-06-17,"1,000",Company,Art. 13 GDPR,Insufficient fulfilment of information obligations
104,ETid-1236,SPAIN,2022-06-16,"1,000",SCOTCH CORNER BAR,"Art. 5 (1) c) GDPR, Art. 58 (2) GDPR",Non-compliance with general data processing principles
105,ETid-1235,ITALY,2022-04-28,"70,000",Ospedale San Raffaele s.r.l.,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles
106,ETid-1234,NORWAY,2022-05-16,"14,500",Arbeidstilsynet,Art. 6 (1) e) GDPR,Insufficient legal basis for data processing
107,ETid-1233,BELGIUM,2022-06-16,"50,000",SA Rossel & Cie,"Art. 6 (1) a) GDPR, Art. 7 (1) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing
108,ETid-1232,ITALY,2022-04-28,"20,000",Nos s.r.l.s.,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing
109,ETid-1231,SPAIN,2022-06-09,"10,000",Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
110,ETid-1230,ROMANIA,2022-06-15,"3,000",S.C. Wine Point S.R.L.,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security
111,ETid-1229,GERMANY,2021,Fine in four-digit amount,Real estate agent,"Art. 6 GDPR, Art. 12 GDPR",Insufficient legal basis for data processing
112,ETid-1228,ITALY,2022-04-28,"40,000",Il Sole 24 Ore S.p.a.,"Art. 5 GDPR, Art. 9 GDPR, Art. 12 GDPR",Insufficient fulfilment of data subjects rights
113,ETid-1227,ITALY,2022-04-28,"2,000",Ekss s.r.l.,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations
114,ETid-1226,SPAIN,2022-06-09,600,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
115,ETid-1225,GERMANY,2021,Fine in four-digit amount,Company,Unknown,Unknown
116,ETid-1224,GERMANY,2021,Fine in three-digit amount,Physician,"Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing
117,ETid-1223,ITALY,2022-04-28,"2,000",Comune di Partanna,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing
118,ETid-1222,GERMANY,2021,Unknown,Clinic,Unknown,Insufficient involvement of data protection officer
119,ETid-1221,GERMANY,2021,Unknown,Attorney,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
120,ETid-1220,GERMANY,2021,Unknown,Beverage retailer,Unknown,Unknown
121,ETid-1219,GERMANY,2021,Unknown,Medical clinic,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
122,ETid-1218,GERMANY,2021,Unknown,Job center employee,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
123,ETid-1217,GERMANY,2021,Unknown,Job center employee,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
124,ETid-1216,GERMANY,2021,Unknown,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
125,ETid-1215,GERMANY,2021,Unknown,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
126,ETid-1214,GERMANY,2021,Unknown,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
127,ETid-1213,GERMANY,2021,Unknown,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
128,ETid-1212,GERMANY,2021,Unknown,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
129,ETid-1211,GERMANY,2021,Unknown,Unknown,Unknown,Unknown
130,ETid-1210,GERMANY,2021,Unknown,Unknown,Unknown,Unknown
131,ETid-1209,GERMANY,2021,170,Restaurant,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles
132,ETid-1208,GERMANY,2021,400,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
133,ETid-1207,GERMANY,2021,600,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
134,ETid-1206,GERMANY,2021,500,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
135,ETid-1205,GERMANY,2021,"1,800",Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
136,ETid-1204,ITALY,2022-04-28,"2,500",'Isabella Gonzaga' high school,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 2-ter Codice della privacy, Art. 2-sexties Codice della privacy",Insufficient legal basis for data processing
137,ETid-1203,POLAND,2022-06-06,"3,500",Esselmann Technika Pojazdowa Sp. z o.o. Sp. k.,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations
138,ETid-1202,SPAIN,2022-06-03,"3,000","LODEJU, S.L.","Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
139,ETid-1201,ROMANIA,2022-06-08,"1,500",Wens Experience SRL,Art. 28 (2) GDPR,Insufficient data processing agreement
140,ETid-1200,SPAIN,2022-06-03,360,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
141,ETid-1199,SPAIN,2022-06-03,"1,000",Store owner,Art. 13 GDPR,Insufficient fulfilment of information obligations
142,ETid-1198,ROMANIA,2022-06-03,"2,000",Kaufland Romania SCS,"Art. 29 GDPR, Art. 32 (1) b) GDPR, Art. 32 (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security
143,ETid-1197,ITALY,2022-04-28,"50,000",Istituto Nazionale Assicurazione Infortuni sul Lavoro,"Art. 5 (1) a), f) GDPR, Art. 6 (1) e) GDPR, Art. 9 (2) g) GDPR, Art. 32 GDPR, Art. 2-ter Codice della privacy, Art. 2-sexies Codice della privacy",Insufficient technical and organisational measures to ensure information security
144,ETid-1196,ITALY,2022-04-28,"10,000",Italian Ministry of Defense,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 10 GDPR, Art. 2-ter Codice della privacy, Art. 2-sexies Codice della privacy, Art. 2-octies Codice della privacy",Insufficient legal basis for data processing
145,ETid-1195,SPAIN,2022-06-01,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
146,ETid-1194,SPAIN,2022-05-31,"1,600",CORON ISLAND SLU,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
147,ETid-1193,ITALY,2022-04-28,"1,000",Educationest s.r.l.,"Art. 5 (1) a), e) GDPR, Art. 6 (1) b), c) GDPR",Insufficient legal basis for data processing
148,ETid-1192,ITALY,2022-04-07,"10,000",E-Mac Professional s.r.l.,"Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights
149,ETid-1191,BELGIUM,2022-05-25,"50,000",Roularta Media Group,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR, Art. 6 (1) a) GDPR, Art. 7 (1), (3) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 24 GDPR",Insufficient legal basis for data processing
150,ETid-1190,UNITED KINGDOM,2022-05-18,"9,000,000",Clearview Al Inc.,"Art. 5 (1) a), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 14 GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 22 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles
151,ETid-1189,FINLAND,2022-04-29,"8,300",Telemarketing company,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
152,ETid-1188,UNITED KINGDOM,2022-03-10,"115,000",Tuckers Solicitors LLP,Art. 5 (1) a) f) GDPR,Non-compliance with general data processing principles
153,ETid-1187,ITALY,2022-04-07,"10,000",Findomestic Banca spa,"Art. 5 (1) a), c) GDPR",Non-compliance with general data processing principles
154,ETid-1186,ITALY,2022-04-07,"20,000",Made in Italy s.r.l.s.,"Art. 6 GDPR, Art. 7 GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 130 (3) Codice della privacy, Art. 157 Codice della privacy, Art. 166 (2) Codice della privacy",Insufficient legal basis for data processing
155,ETid-1185,ITALY,2022-04-07,"50,000",Palumbo Superyacht Ancona s.r.l.,"Art. 5 (1) a), e) GDPR, Art. 13 GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 157 Codice della privacy, Art. 166 (2) Codice della privacy",Insufficient legal basis for data processing
156,ETid-1184,SPAIN,2022-05-20,"2,000",Private individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing
157,ETid-1183,SPAIN,2022-05-20,"1,500",Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
158,ETid-1182,SPAIN,2022-05-20,"2,000",Private individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing
159,ETid-1181,NORWAY,2022-03-15,"9,700",Company,"Art. 6 (1) GDPR, Art. 13 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing
160,ETid-1180,ROMANIA,2022-05-24,"5,000",MED LIFE S.A.,"Art. 32 (1) b), (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security
161,ETid-1179,SPAIN,2022-05-17,"42,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
162,ETid-1178,SPAIN,2022-05-18,600,"SCF ZHU, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations
163,ETid-1177,ITALY,2022-03-10,"10,000",Alfa Shipyard s.r.l.,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
164,ETid-1176,SPAIN,2022-05-18,"10,000,000",Google LLC,"Art. 6 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing
165,ETid-1175,SPAIN,2022-05-17,"4,000",INSEKT FOOD S.L.,Art. 6 GDPR,Insufficient legal basis for data processing
166,ETid-1174,SPAIN,2022-05-17,"18,000","RAMONA FILMS, S.L.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
167,ETid-1173,SPAIN,2022-05-17,"8,000","TIGERS MARKET, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 (4) LOPDGDD",Insufficient fulfilment of data subjects rights
168,ETid-1172,SPAIN,2022-05-17,"1,500",Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
